name,description,address,postal_code
Buona Vista (CCL),MRT Shelter,"150 NORTH BUONA VISTA ROAD, BUONA VISTA MRT STATION,  Singapore 1393",139350
Haw Par Villa (CCL),MRT Shelter,"270 PASIR PANJANG ROAD, HAW PAR VILLA MRT STATION,  Singapore 1173",117396
Labrador Park (CCL),MRT Shelter,"701 TELOK BLANGAH ROAD, LABRADOR PARK MRT STATION,  Singapore 1090",109029
Bukit Panjang (DTL2),MRT Shelter,"950 UPPER BUKIT TIMAH ROAD, BUKIT PANJANG MRT STATION,  Singapore 6782",678213
Cashew (DTL2),MRT Shelter,"1 CASHEW ROAD, CASHEW MRT STATION,  Singapore 6796",679696
Hillview (DTL2),MRT Shelter,"510 UPPER BUKIT TIMAH ROAD, HILLVIEW MRT STATION,  Singapore 6782",678211
Beauty World (DTL2),MRT Shelter,"101 UPPER BUKIT TIMAH ROAD, BEAUTY WORLD MRT STATION,  Singapore 5882",588216
King Albert Park (DTL2),MRT Shelter,"2 BLACKMORE DRIVE, KING ALBERT PARK MRT STATION,  Singapore 5999",599987
Sixth Avenue (DTL2),MRT Shelter,"777 BUKIT TIMAH ROAD, SIXTH AVENUE MRT STATION,  Singapore 2697",269784
Tan Kah Kee (DTL2),MRT Shelter,"651 BUKIT TIMAH ROAD, TAN KAH KEE MRT STATION,  Singapore 2662",266268
Bishan St 23,HDB Public Shelter,Blk 212 Bishan St 23 #B1-257 S5702,570212
Bishan St 23,HDB Public Shelter,Blk 213 Bishan St 23 #B1-235 S5702,570213
Bishan St 23,HDB Public Shelter,Blk 214 Bishan Street 23 #B1-223 S5702,570214
Bishan St 23,HDB Public Shelter,Blk 215 Bishan St 23 #B1-203 S5702,570215
Bishan St 23,HDB Public Shelter,Blk 220 Bishan St 23 #B1-189 S5702,570220
Bishan St 23,HDB Public Shelter,Blk 221 Bishan St 23 #B1-183 S5702,570221
Bishan St 23,HDB Public Shelter,Blk 222 Bishan St 23 #B1-169 S5702,570222
Bishan St 23,HDB Public Shelter,Blk 223 Bishan St 23 #B1-145 S5702,570223
Bishan St 23,HDB Public Shelter,Blk 224 Bishan Street 23 #B1-131 S5702,570224
Bishan St 23,HDB Public Shelter,Blk 225 Bishan St 23 #B1-119 S5702,570225
Bishan St 23,HDB Public Shelter,Blk 226 Bishan St 23 #B1-101 S5702,570226
Bishan St 23,HDB Public Shelter,Blk 227 Bishan St 23 #B1-79 S5702,570227
Bishan St 23,HDB Public Shelter,Blk 228 Bishan St 23 #B1-71 S5702,570228
Bishan St 23,HDB Public Shelter,Blk 229 Bishan St 23 #B1-53 S5702,570229
Bishan St 23,HDB Public Shelter,Blk 230 Bishan St 23 #B1-35 S5702,570230
Bishan St 23,HDB Public Shelter,Blk 231 Bishan Street 23 #B1-05 S5702,570231
Bishan St 22,HDB Public Shelter,Blk 232 Bishan St 22 #B1-112 S5702,570232
Bishan St 22,HDB Public Shelter,Blk 233 Bishan St 22 #B1-134 S5702,570233
Bishan St 22,HDB Public Shelter,Blk 234 Bishan St 22 #B1-118 S5702,570234
Bishan St 22,HDB Public Shelter,Blk 235 Bishan Street 22 #B1-144 S5702,570235
Bishan St 22,HDB Public Shelter,Blk 236 Bishan St 22 #B1-154 S5702,570236
Bishan St 22,HDB Public Shelter,Blk 237 Bishan St 22 #B1-176 S5702,570237
Bishan St 22,HDB Public Shelter,Blk 238 Bishan Street 22 #B1-228 S5702,570238
Bishan St 22,HDB Public Shelter,Blk 239 Bishan St 22 #B1-202 S5702,570239
Bishan St 22,HDB Public Shelter,Blk 241 Bishan St 22 #B1-236 S5702,570241
Bishan St 22,HDB Public Shelter,Blk 242 Bishan St 22 #B1-266 S5702,570242
Bishan St 22,HDB Public Shelter,Blk 243 Bishan St 22 #B1-274 S5702,570243
Bishan St 22,HDB Public Shelter,Blk 245 Bishan St 22 #B1-320 S5702,570245
Bishan St 22,HDB Public Shelter,Blk 246 Bishan Street 22 #B1-338 S5702,570246
Bishan St 22,HDB Public Shelter,Blk 248 Bishan St 22 #B1-360 S5702,570248
Bishan St 22,HDB Public Shelter,Blk 249 Bishan St 22 #B1-370 S5702,570249
Bishan St 22,HDB Public Shelter,Blk 250 Bishan Street 22 #B1-384 S5702,570250
Bishan St 22,HDB Public Shelter,Blk 251 Bishan St 22 #B1-408 S5702,570251
Bishan St 22,HDB Public Shelter,Blk 253 Bishan Street 22 #B1-428 S5702,570253
Bishan St 22,HDB Public Shelter,Blk 254 Bishan St 22 #B1-444 S5702,570254
Bishan St 22,HDB Public Shelter,Blk 255 Bishan Street 22 #B1-462 S5702,570255
Bishan St 22,HDB Public Shelter,Blk 256 Bishan St 22 #B1-472 S5702,570256
Bishan St 22,HDB Public Shelter,Blk 257 Bishan St 22 #B1-327 S5702,570257
Bishan St 22,HDB Public Shelter,Blk 259 Bishan St 22 #B1-309 S5702,570259
Bishan St 22,HDB Public Shelter,Blk 260 Bishan St 22 #B1-295 S5702,570260
Bishan St 22,HDB Public Shelter,Blk 261 Bishan St 22 #B1-229 S5702,570261
Bishan St 22,HDB Public Shelter,Blk 262 Bishan St 22 #B1-287 S5702,570262
Bishan St 24,HDB Public Shelter,Blk 264 Bishan St 24 #B1-114 S5702,570264
Bishan St 24,HDB Public Shelter,Blk 268 Bishan St 24 #B1-170 S5702,570268
Bishan St 24,HDB Public Shelter,Blk 269 Bishan St 24 #B1-192 S5702,570269
Bishan St 24,HDB Public Shelter,Blk 270 Bishan St 24 #B1-198 S5702,570270
Bishan St 24,HDB Public Shelter,Blk 271 Bishan North St 24 #B1-218 S5702,570271
Bishan St 24,HDB Public Shelter,Blk 272 Bishan St 24 #B1-228 S5702,570272
Bishan St 24,HDB Public Shelter,Blk 288 Bishan Street 24 #01-11 S5702,570288
Bishan St 22,HDB Public Shelter,Blk 293 Bishan Street 22 #01-83 S5702,570293
Holland Close,HDB Public Shelter,Blk 30A Holland Close #01-209 S2710,271030
Holland Close,HDB Public Shelter,Blk 3A Holland Close #01-55 S2720,272003
Boon keng Road,HDB Public Shelter,Blk 6 Boon Keng Road #01-52 S3300,330006
