name,description,address,postal_code
Serangoon North Ave 3,HDB Public Shelter,Blk 548 Serangoon North Ave 3 #01-07 S5505,550548
Serangoon North Ave 3,HDB Public Shelter,Blk 554 Serangoon North Ave 3 #01-85 S5505,550554
Hougang St 91,HDB Public Shelter,Blk 911 Hougang St 91 #01-58 S5309,530911
Hougang St 91,HDB Public Shelter,Blk 915 Hougang St 91 #01-10 S5309,530915
Hougang Ave 9,HDB Public Shelter,Blk 916 Hougang Ave 9 #01-08 S5309,530916
Hougang Ave 9,HDB Public Shelter,Blk 919 Hougang Ave 9 #01-459 S5309,530919
Yishun Ring Road,HDB Public Shelter,Blk 310 Yishun Ring Road #01-1230 S7603,760310
Ang Mo Kio Ave 4,HDB Public Shelter,Blk 617 Ang Mo Kio Ave 4 #01-1041 S5606,560617
Ang Mo Kio Ave 4,HDB Public Shelter,Blk 619 Ang Mo Kio Ave 4 #01-1073 S5606,560619
Hougang Ave 8,HDB Public Shelter,Blk 435 Hougang Ave 8 #B1-1679 S5304,530435
Hougang Ave 8,HDB Public Shelter,Blk 436 Hougang Ave 8 #B1-1505 S5304,530436
Hougang Ave 8,HDB Public Shelter,Blk 437 Hougang Ave 8 #B1-1521 S5304,530437
Hougang Ave 8,HDB Public Shelter,Blk 439 Hougang Ave 8 #B1-1555 S5304,530439
Hougang Ave 8,HDB Public Shelter,Blk 440 Hougang Ave 8 #B1-1567 S5304,530440
Hougang Ave 8,HDB Public Shelter,Blk 444 Hougang Ave 8 #B1-1591 S5304,530444
Hougang Ave 8,HDB Public Shelter,Blk 444 Hougang Ave 8 #B1-1599 S5304,530444
Hougang Ave 8,HDB Public Shelter,Blk 445 Hougang Ave 8 #B1-1615 S5304,530445
Hougang Ave 8,HDB Public Shelter,Blk 446 Hougang Ave 8 #B1-1635 S5304,530446
Hougang Ave 10,HDB Public Shelter,Blk 447 Hougang Ave 10 #B1-517 S5304,530447
Hougang Ave 10,HDB Public Shelter,Blk 448 Hougang Ave 10 #B1-529 S5304,530448
Hougang Ave 10,HDB Public Shelter,Blk 449 Hougang Ave 10 #B1-509 S5304,530449
Hougang Ave 10,HDB Public Shelter,Blk 450 Hougang Ave 10 #B1-541 S5304,530450
Hougang Ave 10,HDB Public Shelter,Blk 451 Hougang Ave 10 #B1-553 S5304,530451
Hougang Ave 10,HDB Public Shelter,Blk 452 Hougang Ave 10 #B1-565 S5304,530452
Hougang Ave 10,HDB Public Shelter,Blk 453 Hougang Ave 10 #B1-583 S5304,530453
Hougang St 52,HDB Public Shelter,Blk 534 Hougang St 52 #B1-32 S5305,530534
Hougang St 52,HDB Public Shelter,Blk 535 Hougang Street 52 #B1-14 S5305,530535
Hougang St 52,HDB Public Shelter,Blk 536 Hougang St 52 #B1-106 S5305,530536
Hougang St 52,HDB Public Shelter,Blk 537 Hougang St 52 #B1-94 S5305,530537
Hougang St 52,HDB Public Shelter,Blk 538 Hougang Street 52 #B1-84 S5305,530538
Hougang St 52,HDB Public Shelter,Blk 539 Hougang St 52 #B1-48 S5305,530539
Hougang Ave 8,HDB Public Shelter,Blk 540 Hougang Ave 8 #B1-1235 S5305,530540
Hougang Ave 8,HDB Public Shelter,Blk 541 Hougang Ave 8 #B1-1215 S5305,530541
Hougang St 51,HDB Public Shelter,Blk 552 Hougang St 51 #B1-214 S5305,530552
Hougang St 51,HDB Public Shelter,"Blk 553 Hougang St 51 #B1-270, S5305",530553
Hougang St 51,HDB Public Shelter,Blk 570 Hougang St 51 #01-105 S5305,530570
Hougang St 51,HDB Public Shelter,Blk 573 Hougang St 51 #01-21 S5305,530573
Hougang Ave 4,HDB Public Shelter,Blk 580 Hougang Ave 4 #01-620 S5305,530580
Woodlands Dr 40,HDB Public Shelter,Blk 702 Woodlands Dr 40 #01-88 S7307,730702
Woodlands Dr 40,HDB Public Shelter,Blk 710 Woodlands Dr 40 #01-45 S7307,730710
Woodlands Dr 40,HDB Public Shelter,Blk 711 Woodlands Dr 40 #01-65 S7307,730711
Woodlands Dr 70,HDB Public Shelter,Blk 717 Woodlands Dr 70 #01-114 S7307,730717
Woodlands Ave 6,HDB Public Shelter,Blk 718 Woodlands Ave 6 #01-684 S7307,730718
Woodlands Circle,HDB Public Shelter,Blk 721 Woodlands Circle #01-122 S7307,730721
Woodlands Ave 6,HDB Public Shelter,Blk 724 Woodlands Ave 6 #01-502 S7307,730724
Woodlands Circle,HDB Public Shelter,Blk 729 Woodlands Circle #01-47 S7307,730729
Woodlands Circle,HDB Public Shelter,Blk 738 Woodlands Circle #01-373 S7307,730738
Woodlands Circle,HDB Public Shelter,Blk 740 Woodlands Circle #01-413 S7307,730740
Woodlands Circle,HDB Public Shelter,Blk 743 Woodlands Circle #01-465 S7307,730743
Woodlands Circle,HDB Public Shelter,Blk 747 Woodlands Circle #01-708 S7307,730747
Woodlands Circle,HDB Public Shelter,Blk 749 Woodlands Circle #01-604 S7307,730749
Woodlands Ave 4,HDB Public Shelter,Blk 756 Woodlands Ave 4 #01-283 S7307,730756
Woodlands Ave 6,HDB Public Shelter,Blk 759 Woodlands Ave 6 #01-32 S7307,730759
Woodlands Ave 6,HDB Public Shelter,Blk 763 Woodlands Ave 6 #01-70 S7307,730763
Woodlands Ave 6,HDB Public Shelter,Blk 791 Woodlands Ave 6 #01-603 S7307,730791
Woodlands Ave 7,HDB Public Shelter,Blk 792 Woodlands Ave 7 #01-675 S7307,730792
Woodlands Dr 72,HDB Public Shelter,Blk 795 Woodlands Dr 72 #01-13 S7307,730795
Boon Lay Drive,HDB Public Shelter,Blk 260 Boon Lay Drive #01-527 S6402,640260
Boon Lay Drive,HDB Public Shelter,Blk 263 Boon Lay Drive #01-583 S6402,640263
Bukit Batok West Ave 6,HDB Public Shelter,Blk 188 Bukit Batok West Ave 6 #01-07 S6501,650188
Bukit Batok Central,HDB Public Shelter,Blk 625 Bukit Batok Central #01-386 S6506,650625
Bukit Batok St 25,HDB Public Shelter,Blk 288C Bukit Batok St 25 #01-28 S6522,652288
Bukit Batok St 25,HDB Public Shelter,Blk 289E Bukit Batok St 25 #01-160 S6542,654289
Bukit Batok St 24,HDB Public Shelter,Blk 290A Bukit Batok St 24 #01-87 S6522,652290
Bukit Batok East Ave 3,HDB Public Shelter,Blk 290D Bukit Batok East Ave 3 #01-370 S(65029,650290
Bukit Batok,HDB Public Shelter,Blk 291B Bukit Batok #01-39 S6512,651291
Bukit Batok East Ave 3,HDB Public Shelter,Blk 285 Bukit Batok East Ave 3 #01-427 S6502,650285
Gangsa Road,HDB Public Shelter,Blk 171A Gangsa Road #01-50 S6711,671171
Fajar Road,HDB Public Shelter,Blk 436 Fajar Road #B1-384 S6704,670436
Fajar Road,HDB Public Shelter,Blk 438 Fajar Road #B1-412 S6704,670438
Fajar Road,HDB Public Shelter,Blk 439 Fajar Road #B1-428 S6704,670439
Fajar Road,HDB Public Shelter,Blk 441 Fajar Road #B1-466 S6704,670441
Fajar Road,HDB Public Shelter,Blk 442 Fajar Rd #01-482 S4794,670442
Fajar Road,HDB Public Shelter,Blk 451 Fajar Road #01-726 S6704,670451
Fajar Road,HDB Public Shelter,Blk 453 Fajar Rd #01-702 S6704,670453
Jelapang Road,HDB Public Shelter,Blk 501 Jelapang Road #01-420 S(67050,670501
Jelapang Road,HDB Public Shelter,Blk 505 Jelapang Road #01-448 S6705,670505
Jalan Teck Whye,HDB Public Shelter,Blk 150 Jalan Teck Whye #01-43 S6801,680150
Jalan Teck Whye,HDB Public Shelter,Blk 151 Jalan Teck Whye #01-29 S6801,680151
Jalan Teck Whye,HDB Public Shelter,Blk 163 Jalan Teck Whye #01-220 S6801,680163
Choa Chu Kang Ave 1,HDB Public Shelter,Blk 202 Choa Chu Kang Ave 1 #B1-63 S6802,680202
Choa Chu Kang Ave 1,HDB Public Shelter,Blk 203 Choa Chu Kang Ave 1 #B1-41 S6802,680203
Choa Chu Kang Ave 1,HDB Public Shelter,Blk 204 Choa Chu Kang Ave 1 #B1-15 S6802,680204
Choa Chu Kang Central,HDB Public Shelter,Blk 207 Choa Chu Kang Central #B1-08 S6802,680207
Choa Chu Kang Central,HDB Public Shelter,Blk 208 Choa Chu Kang Central #B1-82 S6802,680208
Choa Chu Kang Central,HDB Public Shelter,Blk 210 Choa Chu Kang Central #B1-162 S6802,680210
Choa Chu Kang Central,HDB Public Shelter,Blk 211 Choa Chu Kang Central #B1-120 S6802,680211
Choa Chu Kang Central,HDB Public Shelter,Blk 214 Choa Chu Kang Central #B1-230 S6802,680214
Choa Chu Kang Central,HDB Public Shelter,Blk 215 Choa Chu Kang Central #B1-186 S6802,680215
Choa Chu Kang Central,HDB Public Shelter,Blk 217 Choa Chu Kang Central #B1-212 S6802,680217
Choa Chu Kang Central,HDB Public Shelter,Blk 218 Choa Chu Kang Central #B1-250 S6802,680218
Choa Chu Kang Central,HDB Public Shelter,Blk 219 Choa Chu Kang Central #B1-256 S6802,680219
Choa Chu Kang Central,HDB Public Shelter,Blk 220 Choa Chu Kang Central #B1-266 S6802,680220
Choa Chu Kang Central,HDB Public Shelter,Blk 230 Choa Chu Kang Central #B1-163 S6802,680230
Choa Chu Kang Central,HDB Public Shelter,Blk 232 Choa Chu Kang Central #B1-127 S6802,680232
Choa Chu Kang Central,HDB Public Shelter,Blk 233 Choa Chu Kang Central #B1-97 S6802,680233
Choa Chu Kang Central,HDB Public Shelter,Blk 235 Choa Chu Kang Central #B1-25 S6802,680235
Choa Chu Kang Central,HDB Public Shelter,Blk 237 Choa Chu Kang Central #B1-63 S6802,680237
Choa Chu Kang Ave 2,HDB Public Shelter,Blk 252 Choa Chu Kang Ave 2 #01-304 S6802,680252
Choa Chu Kang Ave 2,HDB Public Shelter,Blk 273 Choa Chu Kang Ave 2 #01-241 S6802,680273
Choa Chu Kang St 51,HDB Public Shelter,Blk 516 Choa Chu Kang St 51 #01-66 S6805,680516
Choa Chu Kang St 51,HDB Public Shelter,Blk 517 Choa Chu Kang Street 51 #01-30 S6805,680517
Choa Chu Kang St 51,HDB Public Shelter,Blk 530 Choa Chu Kang St 51 #01-323 S6805,680530
Choa Chu Kang Ave 3,HDB Public Shelter,Blk 284 Choa Chu Kang Ave 3 #B1-330 S6802,680284
Choa Chu Kang Ave 3,HDB Public Shelter,Blk 285 Choa Chu Kang Ave 3 #B1-298 S6802,680285
Choa Chu Kang Ave 3,HDB Public Shelter,Blk 286 Choa Chu Kang Ave 3 #B1-318 S6802,680286
Choa Chu Kang Ave 2,HDB Public Shelter,Blk 287 Choa Chu Kang Ave 2 #B1-203 S6802,680287
Choa Chu Kang Ave 3,HDB Public Shelter,Blk 288 Choa Chu Kang Ave 3 #B1-288 S6802,680288
Choa Chu Kang Ave 3,HDB Public Shelter,Blk 289 Choa Chu Kang Ave 3 #B1-268 S6802,680289
Choa Chu Kang Ave 3,HDB Public Shelter,Blk 294 Choa Chu Kang Ave 3 #B1-177 S6802,680294
Choa Chu Kang Ave 2,HDB Public Shelter,Blk 295 Choa Chu Kang Ave 2 #B1-157 S6802,680295
Choa Chu Kang Ave 2,HDB Public Shelter,Blk 296 Choa Chu Kang Ave 2 #01-12 S6802,680296
Choa Chu Kang Ave 2,HDB Public Shelter,Blk 297C Choa Chu Kang Ave 2 #01-96 S6802,680297
Choa Chu Kang Loop,HDB Public Shelter,Blk 340 Choa Chu Kang Loop #01-09 S6803,680340
Choa Chu Kang Ave 4,HDB Public Shelter,Blk 445 Choa Chu Kang Ave 4 #01-307 S(68044,680445
Choa Chu Kang Ave 4,HDB Public Shelter,Blk 447 Choa Chu Kang Ave 4 #01-371 S(68044,680447
Jurong West St 71,HDB Public Shelter,Blk 705 Jurong West St 71 #01-78 S6407,640705
Jurong West St 71,HDB Public Shelter,Blk 709 Jurong West St 71 #01-34 S6407,640709
Jurong West St 71,HDB Public Shelter,Blk 711 Jurong West Street 71 #B1-11 S6407,640711
Jurong West St 71,HDB Public Shelter,Blk 713 Jurong West Street 71 #B1-37 S6407,640713
Jurong West St 71,HDB Public Shelter,Blk 714 Jurong West St 71 #B1-147 S6407,640714
Jurong West St 71,HDB Public Shelter,Blk 715 Jurong West St 71 #B1-51 S6407,640715
Jurong West St 71,HDB Public Shelter,Blk 716 Jurong West Street 71 #B1-73 S6407,640716
Jurong West St 71,HDB Public Shelter,Blk 717 Jurong West St 71 #B1-107 S6407,640717
Jurong West St 71,HDB Public Shelter,Blk 718 Jurong West Street 71 #B1-99 S6407,640718
Jurong West Ave 5,HDB Public Shelter,Blk 720 Jurong West Ave 5 #B1-94 S6407,640720
Jurong West Street 81,HDB Public Shelter,Blk 721 Jurong West Street 81 #B1-102 S6407,640721
Jurong West Street 71,HDB Public Shelter,Blk 722 Jurong West St 71 #B1-132 S6407,640722
Jurong West Ave 5,HDB Public Shelter,Blk 723 Jurong West Ave 5 #B1-144 S6407,640723
Jurong West Street 72,HDB Public Shelter,Blk 724 Jurong West Street 72 #B1-13 S6407,640724
Jurong West Ave 5,HDB Public Shelter,Blk 725 Jurong West Ave 5 #B1-164 S6407,640725
Jurong West Ave 5,HDB Public Shelter,Blk 727 Jurong West Ave 5 #B1-182 S6407,640727
Jurong West Ave 5,HDB Public Shelter,Blk 728 Jurong West Ave 5 #B1-198 S6407,640728
Jurong West Ave 5,HDB Public Shelter,Blk 729 Jurong West Ave 5 #B1-214 S6407,640729
Jurong West Street 72,HDB Public Shelter,Blk 730 Jurong West Street 72 #B1-45 S6407,640730
Jurong West Street 72,HDB Public Shelter,Blk 731 Jurong West St 72 #B1-29 S6407,640731
Jurong West Street 73,HDB Public Shelter,Blk 732 Jurong West Street 73 #01-48 S6407,640732
Jurong West St 75,HDB Public Shelter,Blk 735 Jurong West St 75 #01-19 S6407,640735
Jurong West Street 73,HDB Public Shelter,Blk 743 Jurong West St 73 #B1-03 S6407,640743
Jurong West Street 73,HDB Public Shelter,Blk 745 Jurong West St 73 #B1-57 S6407,640745
Jurong West Street 73,HDB Public Shelter,Blk 746 Jurong West St 73 #B1-111 S6407,640746
Jurong West Street 73,HDB Public Shelter,Blk 748 Jurong West St 73 #B1-127 S6407,640748
Jurong West Street 73,HDB Public Shelter,Blk 749 Jurong West St 73 #B1-145 S6407,640749
Jurong West Street 73,HDB Public Shelter,Blk 751 Jurong West St 73 #B1-175 S6407,640751
Jurong West St 74,HDB Public Shelter,Blk 760 Jurong West St 74 #01-08 S6407,640760
Jurong West St 81,HDB Public Shelter,Blk 810 Jurong West St 81 #01-88 S6408,640810
Jurong West St 81,HDB Public Shelter,Blk 811 Jurong West St 81 #01-64 S6408,640811
Jurong West St 81,HDB Public Shelter,Blk 812 Jurong West St 81 #B1-164 S6408,640812
Jurong West St 81,HDB Public Shelter,Blk 813 Jurong West St 81 #B1-184 S6408,640813
Jurong West St 81,HDB Public Shelter,"Blk 814 Jurong West St 81 #B1-204, S6408",640814
Jurong West St 81,HDB Public Shelter,Blk 815 Jurong West St 81 #B1-222 S6408,640815
Jurong West St 81,HDB Public Shelter,Blk 816 Jurong West St 81 #01-44 S6408,640816
Jurong West St 81,HDB Public Shelter,Blk 821 Jurong West St 81 #B1-490 S6408,640821
Jurong West St 81,HDB Public Shelter,Blk 823 Jurong West Street 81 #B1-462 S6408,640823
Jurong West St 81,HDB Public Shelter,Blk 824 Jurong West Street 81 #B1-444 S6408,640824
Jurong West St 81,HDB Public Shelter,Blk 826 Jurong West St 81 #B1-424 S6408,640826
Jurong West St 81,HDB Public Shelter,Blk 835 Jurong West Street 81 #B1-45 S6408,640835
Jurong West St 81,HDB Public Shelter,Blk 836 Jurong West St 81 #01-65 S6408,640836
Jurong West St 81,HDB Public Shelter,Blk 838 Jurong West St 81 #B1-153 S6408,640838
Jurong West St 81,HDB Public Shelter,Blk 840 Jurong West St 81 #01-107 S6408,640840
Jurong West St 81,HDB Public Shelter,Blk 845 Jurong West St 81 #01-229 S6408,640845
Jurong West St 81,HDB Public Shelter,Blk 850 Jurong West St 81 #01-267 S6408,640850
Jurong West St 81,HDB Public Shelter,Blk 852 Jurong West St 81 #01-303 S6408,640852
Jurong West St 81,HDB Public Shelter,Blk 854 Jurong West St 81 #01-502 S6408,640854
Jurong West St 81,HDB Public Shelter,Blk 859 Jurong West St 81 #01-572 S6408,640859
Jurong West St 81,HDB Public Shelter,Blk 863 Jurong West St 81 #01-515 S6408,640863
Jurong West Central 1,HDB Public Shelter,Blk 690 Jurong West Central 1 #01-193 S6406,640690
Jurong West Central 1,HDB Public Shelter,Blk 691 Jurong West Central 1 #01-185 S6406,640691
Jurong West Central 1,HDB Public Shelter,Blk 692 Jurong West Central 1 #01-81 S(64069,640692
Jurong West Central 1,HDB Public Shelter,Blk 694 Jurong West Central 1 #01-191 S6406,640694
Yung Ho Road,HDB Public Shelter,Blk 151 Yung Ho Road #B1-91 S6101,610151
Yung Ho Road,HDB Public Shelter,Blk 152 Yung Ho Road #B1-03 S6101,610152
Yung Ho Road,HDB Public Shelter,Blk 153 Yung Ho Road #B1-35 S6101,610153
Yung Ho Road,HDB Public Shelter,Blk 154 Yung Ho Road #B1-51 S6101,610154
Yung Loh Road,HDB Public Shelter,Blk 156 Yung Loh Road #01-12 S6101,610155
Yung Ping Rd,HDB Public Shelter,Blk 163 Yung Ping Rd #01-90 S(61016,610163
Tah Ching Rd,HDB Public Shelter,Blk 323 Tah Ching Rd #01-62 S6103,610323
Tah Ching Rd,HDB Public Shelter,Blk 324 Tah Ching Rd #01-46 S6103,610324
Tah Ching Rd,HDB Public Shelter,Blk 332 Tah Ching Rd #01-169 S6103,610332
Kang Ching Road,HDB Public Shelter,Blk 347 Kang Ching Road #01-145 S(61034,610347
Corporation Drive,HDB Public Shelter,Blk 351 Corporation Drive #01-520 S6103,610351
Kang Ching Road,HDB Public Shelter,Blk 353 Kang Ching Road #01-39 S6103,610353
Yung An Road,HDB Public Shelter,Blk 359 Yung An Road #01-79 S6103,610359
Yung An Road,HDB Public Shelter,Blk 362 Yung An Road #01-131 S6103,610362
Corporation Drive,HDB Public Shelter,Blk 368 Corporation Drive #01-465 S6103,610368
Woodlands Ave 1,HDB Public Shelter,Blk 351 Woodlands Ave 1 #01-721 S7303,730351
Woodlands Ave 1,HDB Public Shelter,Blk 355 Woodlands Ave 1 #01-707 S7303,730355
Woodlands Ave 5,HDB Public Shelter,Blk 363 Woodlands Ave 5 #01-440 S7303,730363
Woodlands Ave 1,HDB Public Shelter,Blk 368 Woodlands Ave 1 #01-807 S7303,730368
Woodlands St 41,HDB Public Shelter,Blk 401 Woodlands St 41 #01-30 S7304,730401
Woodlands St 41,HDB Public Shelter,Blk 408 Woodlands St 41 #01-09 S7304,730408
Woodlands St 41,HDB Public Shelter,Blk 418 Woodlands St 41 #01-131 S7304,730418
Woodlands St 41,HDB Public Shelter,Blk 424 Woodlands St 41 #01-340 S7304,730424
Woodlands Dr 42,HDB Public Shelter,Blk 601 Woodlands Dr 42 #01-83 S7306,730601
Woodlands Dr 42,HDB Public Shelter,Blk 605 Woodlands Dr 42 #01-105 S7306,730605
Woodlands St 81,HDB Public Shelter,Blk 810 Woodlands St 81 #01-191A S7308,730810
Woodlands St 81,HDB Public Shelter,Blk 827 Woodlands St 81 #01-92 S7308,730827
Woodlands Ave 4,HDB Public Shelter,Blk 846 Woodlands Ave 4 #01-612 S7308,730846
Woodlands Street 83,HDB Public Shelter,Blk 851 Woodlands Street 83 #01-18 S7308,730851
Woodlands Street 83,HDB Public Shelter,Blk 859 Woodlands St 83 #01-140 S7308,730859
Woodlands Street 81,HDB Public Shelter,Blk 871 Woodlands Street 81 #01-292 S7308,730871
Woodlands Ave 9,HDB Public Shelter,Blk 876 Woodlands Ave 9 #01-256 S7308,730876
Woodlands Street 82,HDB Public Shelter,Blk 880 Woodlands St 82 #01-08 S7308,730880
Woodlands Dr 50,HDB Public Shelter,Blk 892A Woodlands Dr 50 #01-153 S7308,730892
Woodlands Dr 50,HDB Public Shelter,Blk 894B Woodlands Dr 50 #01-49 S7318,731894
Woodlands Dr 50,HDB Public Shelter,Blk 895B Woodlands Dr 50 #01-24 S7318,731894
Woodlands Dr 50,HDB Public Shelter,Blk 897A Woodlands Dr 50 #01-50 S7308,730897
Woodlands Dr 50,HDB Public Shelter,Blk 899A Woodlands Dr 50 #01-250 S7308,730899
Woodlands Dr 50,HDB Public Shelter,Blk 899C Woodlands Dr 50 #01-296 S7328,732899
Choa Chu Kang St 51,HDB Public Shelter,Blk 504 Choa Chu Kang St 51 #01-173 S6805,680504
Choa Chu Kang St 51,HDB Public Shelter,Blk 505 Choa Chu Kang St 51 #01-191 S6805,680505
Choa Chu Kang St 52,HDB Public Shelter,Blk 541 Choa Chu Kang St 52 #01-46 S6805,680541
Blk 544 Choa Chu Kang St 52 #01-88 S680544,HDB Public Shelter,Blk 544 Choa Chu Kang St 52 #01-88 S6805,680544
Blk 544 Choa Chu Kang St 52 #01-88 S680544,HDB Public Shelter,Blk 549 Choa Chu Kang St 52 #01-13 S6805,680549
Choa Chu Kang North 6,HDB Public Shelter,Blk 555 Choa Chu Kang North 6 #01-34 S6805,680555
Choa Chu Kang North 6,HDB Public Shelter,Blk 561 Choa Chu Kang North 6 #01-82 S6805,680561
Choa Chu Kang St 62,HDB Public Shelter,Blk 601 Choa Chu Kang St 62 #01-09 S6806,680601
Choa Chu Kang St 62,HDB Public Shelter,Blk 610 Choa Chu Kang St 62 #01-161 S6806,680610
Choa Chu Kang St 62,HDB Public Shelter,Blk 614 Choa Chu Kang St 62 #01-233 S6806,680614
Choa Chu Kang St 62,HDB Public Shelter,Blk 620 Choa Chu Kang St 62 #01-18 S6806,680620
Choa Chu Kang St 62,HDB Public Shelter,Blk 626 Choa Chu Kang St 62 #01-180 S6806,680626
Choa Chu Kang North 6,HDB Public Shelter,Blk 632A Choa Chu Kang North 6 #B1-01 S6816,681632
Choa Chu Kang St 64,HDB Public Shelter,Blk 639 Choa Chu Kang St 64 #01-31 S6806,680639
Choa Chu Kang Street 64,HDB Public Shelter,Blk 642 Choa Chu Kang Street 64 #01-65 S6806,680642
Choa Chu Kang Crescent,HDB Public Shelter,Blk 660 Choa Chu Kang Crescent #01-93 S6806,680660
Choa Chu Kang St 53,HDB Public Shelter,Blk 704 Choa Chu Kang St 53 #01-80 S6807,680704
Choa Chu Kang St 53,HDB Public Shelter,Blk 707 Choa Chu Kang St 53 #01-118 S6807,680707
Choa Chu Kang North 5,HDB Public Shelter,Blk 753 Choa Chu Kang North 5 #01-213 S6807,680753
Choa Chu Kang North 5,HDB Public Shelter,Blk 759 Choa Chu Kang North 5 #01-145 S6807,680759
Choa Chu Kang North 5,HDB Public Shelter,Blk 764 Choa Chu Kang North 5 #01-275 S6807,680764
Choa Chu Kang St 54,HDB Public Shelter,Blk 768 Choa Chu Kang St 54 #01-29 S6807,680768
Choa Chu Kang Drive,HDB Public Shelter,Blk 785 Choa Chu Kang Drive #01-223 S6807,680785
Choa Chu Kang North 6,HDB Public Shelter,Blk 790 Choa Chu Kang North 6 #01-238 S6807,680790
St Gabriel’s Secondary,School Shelter,24 Serangoon Ave 1 (55614,556140
Greenridge Secondary,School Shelter,32 Bukit Panjang Ring Road (67993,679938
Anderson Secondary,School Shelter,10 Ang Mo Kio Street 53 (56920,569206
Damai Secondary,School Shelter,4800 Bedok Reservoir Road (47922,479229
Dunearn Secondary,School Shelter,21 Bukit Batok West Ave2 (65920,659204
Springfield Secondary,School Shelter,30 Tampines Avenue 8 (52959,529593
Greenview Secondary,School Shelter,15 Pasir Ris Street 21 (51896,518969
Northland Secondary,School Shelter,3 Yishun Street 22 (76857,768578
Ngee Ann Secondary,School Shelter,1 Tampines Street 32 (52928,529283
Hong Kah Secondary l,School Shelter,931 Jurong West Street 42 (64937,649370
Peirce Secondary,School Shelter,10 Sin Ming Walk (57556,575566
Fajar Secondary,School Shelter,31 Gangsa Road (67897,678972
Crest Secondary,School Shelter,561 Jurong East Street 24 (60956,609561
Kranji Secondary,School Shelter,61 Choa Chu Kang Street 51 (68933,689333
Pioneer Secondary,School Shelter,21 Jurong West Street 81 (64907,649075
Whitley Secondary,School Shelter,30 Bishan Street 24 (57974,579747
Bukit Panjang Govt. High,School Shelter,7 Choa Chu Kang Avenue 4 (68980,689809
Cresent Girls' Secondary,School Shelter,357 Tanglin Road (24796,247961
Tanjong Katong Girls',School Shelter,20 Dunman Lane (43712,437126
Anglo-Chinese School (Junior),School Shelter,16 Winstedt Road (22798,227988
Tanglin Secondary,School Shelter,301 West Coast Road (12739,127391
Cedar Girl’s School,School Shelter,1 Cedar Avenue (34969,349692
Bartley Secondary,School Shelter,10 Jalan Bunga Rampai (53840,538403
Dunman High,School Shelter,10 Tanjong Katong Rd (43689,436895
Siglap Secondary,School Shelter,10 Pasir Ris Drive 10 (51938,519385
Queenstown Secondary,School Shelter,1 Strathmore Road (14880,148800
Balestier Hill Secondary,School Shelter,11 Novena Rise (30751,307516
Henderson Secondary,School Shelter,100 Henderson Road (15954,159544
Bendemeer Secondary,School Shelter,1 Saint Wilfred Road (32791,327919
New Town Secondary,School Shelter,1020 Dover Road (13965,139657
Tanjong Katong Secondary,School Shelter,130 Haig Road (43879,438796
Woodlands Ring Secondary,School Shelter,10 Woodlands Ring Road (73823,738239
Sembawang Secondary,School Shelter,30 Sembawang Crescent (75770,757704
Hougang Secondary,School Shelter,2 Hougang Street 93 (53423,534237
Woodsgrove Secondary,School Shelter,3 Woodlands Avenue 6 ( 73899,738990
Orchid Park Secondary,School Shelter,10 Yishun Street 81 (76845,768454
Zhonghua Secondary,School Shelter,13 Serangoon Ave 3 (55612,556123
Sengkang Secondary,School Shelter,10 Compassvale Lane (54509,545090
Yusof Ishak Secondary,School Shelter,11 Bukit Batok Street 25 (65871,658712
Junyuan Secondary,School Shelter,11 Tampines Street 84 (52893,528933
Temasek Secondary,School Shelter,600 Upper East Coast Road (46556,465561
Hwa Chong Institution,School Shelter,661 Bukit Timah Road (26973,269734
Unity Secondary,School Shelter,20 Choa Chu Kang Site Street 62 (68914,689143
Boon Lay Secondary,School Shelter,11Jurong West Street 65 (64835,648354
Coral Secondary,School Shelter,31 Pasir Ris Street 51 (51890,518901
Northbrook Secondary,School Shelter,585 Yishun Ring Road (76869,768692
Bedok North Secondary,School Shelter,20 Jalan Damai (41961,419612
East Spring Secondary,School Shelter,30 Tampines Street 34 (52923,529231
Clementi Woods Secondary,School Shelter,170 West Coast Road (12744,127443
Pasir Ris Crescent Secondary,School Shelter,11 Pasir Ris Street 41 (51893,518934
Changkat Changi Secondary,School Shelter,23 Simei Street 3 (52989,529894
Chestnut Drive Secondary,School Shelter,58 Chestnut Drive (6793,679301
Chong Boon Secondary,School Shelter,2 Ang Mo Kio Street 44 (56925,569250
Kent Ridge Secondary,School Shelter,147 West Coast Road (12736,127368
Teck Whye Secondary,School Shelter,31 Teck Whye Crescent (68884,688848
Yio Chu Kang Secondary,School Shelter,3063 Ang Mo Kio Avenue 5 (56986,569868
Bedok South Secondary,School Shelter,1 Jalan Langgar Bedok (46858,468585
Bukit Merah Secondary,School Shelter,10 Lengkok Bahru (15905,159050
Macpherson Secondary,School Shelter,121 Circuit Road (37949,379499
Deyi Secondary,School Shelter,1 Ang Mo Kio Street 42 (56927,569277
Admiralty Secondary,School Shelter,31 Woodlands Crescent (73791,737916
